,tile_x,tile_z,chunk_x,chunk_z,order,compressor,mean,std
84,128.0,1.0,1024.0,1.0,C,'default',0.7068,0.01112
85,256.0,1.0,1024.0,1.0,C,'default',1.121,0.007528
86,512.0,1.0,1024.0,1.0,C,'default',1.755,0.1465
87,1024.0,1.0,1024.0,1.0,C,'default',3.537,0.0592
88,128.0,-1.0,1024.0,1.0,C,'default',0.7618,0.009797
89,256.0,-1.0,1024.0,1.0,C,'default',1.169,0.01478
90,512.0,-1.0,1024.0,1.0,C,'default',1.923,0.03639
91,128.0,1.0,1024.0,1.0,C,None,0.4764,0.02792
92,256.0,1.0,1024.0,1.0,C,None,0.781,0.0696
93,512.0,1.0,1024.0,1.0,C,None,1.197,0.02937
94,1024.0,1.0,1024.0,1.0,C,None,2.376,0.02889
95,128.0,-1.0,1024.0,1.0,C,None,0.3674,0.002406
96,256.0,-1.0,1024.0,1.0,C,None,0.6674,0.01182
97,512.0,-1.0,1024.0,1.0,C,None,1.26,0.07539
98,128.0,1.0,1024.0,1.0,F,'default',0.3938,0.02314
99,256.0,1.0,1024.0,1.0,F,'default',0.4872,0.0289
100,512.0,1.0,1024.0,1.0,F,'default',0.6465,0.009852
101,1024.0,1.0,1024.0,1.0,F,'default',1.206,0.04893
102,128.0,-1.0,1024.0,1.0,F,'default',0.5007,0.02138
103,256.0,-1.0,1024.0,1.0,F,'default',0.6041,0.0131
104,512.0,-1.0,1024.0,1.0,F,'default',0.7754,0.02054
105,128.0,1.0,1024.0,1.0,F,None,0.2097,0.06458
106,256.0,1.0,1024.0,1.0,F,None,0.2512,0.005118
107,512.0,1.0,1024.0,1.0,F,None,0.3958,0.002628
108,1024.0,1.0,1024.0,1.0,F,None,0.6978,0.01975
109,128.0,-1.0,1024.0,1.0,F,None,0.185,0.002048
110,256.0,-1.0,1024.0,1.0,F,None,0.2529,0.001162
111,512.0,-1.0,1024.0,1.0,F,None,0.3966,0.003464
112,128.0,1.0,128.0,-1.0,C,'default',0.1667,0.01701
113,256.0,1.0,128.0,-1.0,C,'default',0.2674,0.001575
114,512.0,1.0,128.0,-1.0,C,'default',0.486,0.003384
115,1024.0,1.0,128.0,-1.0,C,'default',0.9055,0.02395
116,128.0,-1.0,128.0,-1.0,C,'default',0.161,0.001203
117,256.0,-1.0,128.0,-1.0,C,'default',0.2677,0.001147
118,512.0,-1.0,128.0,-1.0,C,'default',0.4772,0.001914
119,128.0,1.0,128.0,-1.0,C,None,0.08981,0.02746
120,256.0,1.0,128.0,-1.0,C,None,0.1495,0.006565
121,512.0,1.0,128.0,-1.0,C,None,0.2626,0.005921
122,1024.0,1.0,128.0,-1.0,C,None,0.5029,0.01493
123,128.0,-1.0,128.0,-1.0,C,None,0.07381,0.0006182
124,256.0,-1.0,128.0,-1.0,C,None,0.1346,0.0003292
125,512.0,-1.0,128.0,-1.0,C,None,0.2535,0.0009468
126,128.0,1.0,128.0,-1.0,F,'default',0.1793,0.009361
127,256.0,1.0,128.0,-1.0,F,'default',0.2638,0.03498
128,512.0,1.0,128.0,-1.0,F,'default',0.4957,0.06411
129,1024.0,1.0,128.0,-1.0,F,'default',0.9608,0.005482
130,128.0,-1.0,128.0,-1.0,F,'default',0.1608,0.0003542
131,256.0,-1.0,128.0,-1.0,F,'default',0.2799,0.0005014
132,512.0,-1.0,128.0,-1.0,F,'default',0.5054,0.001109
133,128.0,1.0,128.0,-1.0,F,None,0.1031,0.03517
134,256.0,1.0,128.0,-1.0,F,None,0.171,0.0023
135,512.0,1.0,128.0,-1.0,F,None,0.3305,0.009566
136,1024.0,1.0,128.0,-1.0,F,None,0.662,0.009331
137,128.0,-1.0,128.0,-1.0,F,None,0.08917,0.0004088
138,256.0,-1.0,128.0,-1.0,F,None,0.1689,0.000632
139,512.0,-1.0,128.0,-1.0,F,None,0.3237,0.004912
140,128.0,1.0,256.0,-1.0,C,'default',0.1879,0.01171
141,256.0,1.0,256.0,-1.0,C,'default',0.2865,0.0008106
142,512.0,1.0,256.0,-1.0,C,'default',0.4931,0.002451
143,1024.0,1.0,256.0,-1.0,C,'default',0.8826,0.04464
144,128.0,-1.0,256.0,-1.0,C,'default',0.1808,0.003448
145,256.0,-1.0,256.0,-1.0,C,'default',0.2807,0.0009415
146,512.0,-1.0,256.0,-1.0,C,'default',0.4762,0.003221
147,128.0,1.0,256.0,-1.0,C,None,0.1163,0.03164
148,256.0,1.0,256.0,-1.0,C,None,0.1734,0.0007603
149,512.0,1.0,256.0,-1.0,C,None,0.317,0.0006803
150,1024.0,1.0,256.0,-1.0,C,None,0.6198,0.009921
151,128.0,-1.0,256.0,-1.0,C,None,0.1001,0.007677
152,256.0,-1.0,256.0,-1.0,C,None,0.1423,0.01332
153,512.0,-1.0,256.0,-1.0,C,None,0.262,0.01244
154,128.0,1.0,256.0,-1.0,F,'default',0.1823,0.02174
155,256.0,1.0,256.0,-1.0,F,'default',0.2655,0.006145
156,512.0,1.0,256.0,-1.0,F,'default',0.4569,0.01529
157,1024.0,1.0,256.0,-1.0,F,'default',0.8183,0.03837
158,128.0,-1.0,256.0,-1.0,F,'default',0.1645,0.00245
159,256.0,-1.0,256.0,-1.0,F,'default',0.256,0.0005252
160,512.0,-1.0,256.0,-1.0,F,'default',0.4393,0.0008764
161,128.0,1.0,256.0,-1.0,F,None,0.1115,0.03124
162,256.0,1.0,256.0,-1.0,F,None,0.1706,0.001183
163,512.0,1.0,256.0,-1.0,F,None,0.3115,0.0009258
164,1024.0,1.0,256.0,-1.0,F,None,0.5893,0.001295
165,128.0,-1.0,256.0,-1.0,F,None,0.09716,0.001456
166,256.0,-1.0,256.0,-1.0,F,None,0.1681,0.000232
167,512.0,-1.0,256.0,-1.0,F,None,0.3097,0.001302
168,128.0,1.0,512.0,-1.0,C,'default',0.192,0.01096
169,256.0,1.0,512.0,-1.0,C,'default',0.2579,0.01044
170,512.0,1.0,512.0,-1.0,C,'default',0.5203,0.1425
171,1024.0,1.0,512.0,-1.0,C,'default',0.7586,0.01051
172,128.0,-1.0,512.0,-1.0,C,'default',0.2046,0.003378
173,256.0,-1.0,512.0,-1.0,C,'default',0.2854,0.002195
174,512.0,-1.0,512.0,-1.0,C,'default',0.4403,0.004011
175,128.0,1.0,512.0,-1.0,C,None,0.1243,0.04026
176,256.0,1.0,512.0,-1.0,C,None,0.1651,0.003809
177,512.0,1.0,512.0,-1.0,C,None,0.2995,0.005222
178,1024.0,1.0,512.0,-1.0,C,None,0.5623,0.05655
179,128.0,-1.0,512.0,-1.0,C,None,0.1068,0.0005524
180,256.0,-1.0,512.0,-1.0,C,None,0.1627,0.002432
181,512.0,-1.0,512.0,-1.0,C,None,0.2746,0.0005486
182,128.0,1.0,512.0,-1.0,F,'default',0.2032,0.0159
183,256.0,1.0,512.0,-1.0,F,'default',0.2737,0.006175
184,512.0,1.0,512.0,-1.0,F,'default',0.4378,0.003934
185,1024.0,1.0,512.0,-1.0,F,'default',0.7418,0.005716
186,128.0,-1.0,512.0,-1.0,F,'default',0.1954,0.005581
187,256.0,-1.0,512.0,-1.0,F,'default',0.2901,0.04324
188,512.0,-1.0,512.0,-1.0,F,'default',0.4766,0.01202
189,128.0,1.0,512.0,-1.0,F,None,0.1284,0.03232
190,256.0,1.0,512.0,-1.0,F,None,0.1768,0.001012
191,512.0,1.0,512.0,-1.0,F,None,0.2958,0.006527
192,1024.0,1.0,512.0,-1.0,F,None,0.5905,0.05205
193,128.0,-1.0,512.0,-1.0,F,None,0.1156,0.002109
194,256.0,-1.0,512.0,-1.0,F,None,0.18,0.001445
195,512.0,-1.0,512.0,-1.0,F,None,0.3036,0.0004167
