         1378372 function calls (1376121 primitive calls) in 21.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    6.467    0.127   16.130    0.316 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:126(read_chunk_into)
    49878    6.435    0.000    6.492    0.000 {built-in method numpy.fromfile}
        1    2.722    2.722    4.729    4.729 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:159(__iter_read_spectrum_meta)
      832    1.466    0.002    1.485    0.002 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1996(_encode_chunk)
   349152    1.139    0.000    1.139    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:48(_get_cv_param)
      841    0.992    0.001    0.992    0.001 {method 'write' of '_io.BufferedWriter' objects}
    49877    0.829    0.000    1.985    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:226(__process_spectrum)
      267    0.138    0.001    0.138    0.001 {method 'fill' of 'numpy.ndarray' objects}
    49878    0.108    0.000    0.108    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.102    0.102   16.269   16.269 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:400(_tmp)
      832    0.055    0.000    1.694    0.002 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1897(_process_for_setitem)
    49877    0.050    0.000    0.086    0.000 /usr/lib/python3.8/collections/__init__.py:400(_make)
       11    0.042    0.004    0.042    0.004 {pandas._libs.lib.maybe_convert_objects}
    51677    0.038    0.000    0.038    0.000 {built-in method _abc._abc_instancecheck}
      851    0.034    0.000    0.034    0.000 {built-in method io.open}
     3601    0.032    0.000    0.032    0.000 {built-in method posix.stat}
1266/1211    0.031    0.000    0.031    0.000 {built-in method numpy.array}
    51768    0.027    0.000    0.027    0.000 {built-in method __new__ of type object at 0x908780}
      832    0.026    0.000    2.887    0.003 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1865(_chunk_setitem)
      2/1    0.026    0.013    0.033    0.033 {built-in method _imp.exec_dynamic}
   350448    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
    51677    0.021    0.000    0.059    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
        1    0.019    0.019    0.025    0.025 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:89(add_chunk_idx)
    49928    0.017    0.000    0.017    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:303(dtype)
      841    0.017    0.000    1.157    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:848(__setitem__)
      841    0.015    0.000    0.015    0.000 {built-in method posix.replace}
        2    0.012    0.006    0.016    0.008 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:193(fix)
58496/56908    0.012    0.000    0.012    0.000 {built-in method builtins.len}
        2    0.010    0.005    0.010    0.005 {built-in method _imp.create_dynamic}
      841    0.010    0.000    1.035    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:822(_tofile)
    35937    0.009    0.000    0.013    0.000 {built-in method builtins.isinstance}
      832    0.009    0.000    2.860    0.003 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1891(_chunk_setitem_nosync)
     1666    0.008    0.000    0.026    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:53(ensure_contiguous_ndarray)
      884    0.007    0.000    0.015    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:296(__iter__)
      841    0.007    0.000    0.008    0.000 /usr/lib/python3.8/uuid.py:132(__init__)
     1883    0.007    0.000    0.010    0.000 /usr/lib/python3.8/posixpath.py:71(join)
     1673    0.007    0.000    0.007    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       52    0.006    0.000    2.916    0.056 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1601(_set_selection)
       70    0.005    0.000    0.005    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     2498    0.005    0.000    0.012    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:10(ensure_ndarray)
       53    0.004    0.000    0.004    0.000 {built-in method builtins.exec}
      846    0.004    0.000    0.005    0.000 /usr/lib/python3.8/posixpath.py:100(split)
     1559    0.004    0.000    0.008    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/numeric.py:1865(isscalar)
      841    0.003    0.000    0.003    0.000 {built-in method posix.urandom}
      841    0.003    0.000    0.015    0.000 /usr/lib/python3.8/uuid.py:780(uuid4)
     3944    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:193(<genexpr>)
      832    0.003    0.000    0.008    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:179(is_total_slice)
        1    0.003    0.003    4.862    4.862 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:554(_get_converter_fun)
        1    0.003    0.003    0.003    0.003 {pandas._libs.lib.to_object_array_tuples}
      129    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4537(__contains__)
       51    0.003    0.000    0.007    0.000 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
      841    0.003    0.000    0.018    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:629(retry_call)
        8    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1969(construct_1d_object_array_from_listlike)
      104    0.003    0.000    0.003    0.000 {built-in method builtins.next}
        3    0.003    0.001    0.003    0.001 {built-in method _operator.floordiv}
        3    0.002    0.001    0.004    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1981(_merge_blocks)
      994    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      841    0.002    0.000    0.019    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
       51    0.002    0.000    0.002    0.000 {built-in method _operator.eq}
     1190    0.002    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:118(__iter__)
     1559    0.002    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:36(is_scalar)
      684    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
       51    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
      241    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      816    0.002    0.000    0.003    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
     1688    0.002    0.000    0.010    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
      357    0.002    0.000    0.023    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:813(_getitem_lowerdim)
      430    0.002    0.000    0.013    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:315(__init__)
      338    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
     1041    0.002    0.000    0.009    0.000 /usr/lib/python3.8/genericpath.py:27(isfile)
      367    0.002    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:977(iget)
      972    0.002    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5489(__setattr__)
     1755    0.002    0.000    0.006    0.000 {built-in method builtins.all}
   131/81    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      841    0.001    0.000    0.001    0.000 /usr/lib/python3.8/uuid.py:327(hex)
      816    0.001    0.000    0.002    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
      832    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1954(_chunk_key)
     5245    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
      816    0.001    0.000    0.003    0.000 /usr/lib/python3.8/multiprocessing/process.py:234(ident)
      485    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:233(__init__)
      816    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
     2730    0.001    0.000    0.002    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
      359    0.001    0.000    0.037    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:918(__getitem__)
     1122    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:100(is_bool_indexer)
      816    0.001    0.000    0.002    0.000 /usr/lib/python3.8/threading.py:1306(current_thread)
       73    0.001    0.000    0.026    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:463(sanitize_array)
      357    0.001    0.000    0.019    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1535(_getitem_axis)
        1    0.001    0.001    0.001    0.001 {method 'unique' of 'pandas._libs.hashtable.Int64HashTable' objects}
        1    0.001    0.001    4.857    4.857 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:49(get_data_from_parser)
