         849118 function calls (847173 primitive calls) in 215.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5195    0.005    0.000    0.021    0.000 {built-in method builtins.all}
    10392    0.005    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:276(chunk_store)
     3328    0.004    0.000    0.008    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
       55    0.004    0.000    0.004    0.000 {built-in method builtins.exec}
     3328    0.004    0.000    0.004    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
     3328    0.004    0.000    0.004    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
    21600    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:300(<genexpr>)
    11362    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    21600    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:301(<genexpr>)
     4337    0.003    0.000    0.003    0.000 {built-in method from_bytes}
    39292    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       53    0.003    0.000    0.008    0.000 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
        1    0.003    0.003    0.007    0.007 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:89(add_chunk_idx)
     4320    0.003    0.000    0.005    0.000 <string>:1(__new__)
    14828    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
     7522    0.003    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:99(ceildiv)
    10485    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       77    0.002    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4537(__contains__)
     4331    0.002    0.000    0.002    0.000 {method 'count' of 'list' objects}
     4343    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
      380    0.002    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:977(iget)
      371    0.002    0.000    0.024    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:813(_getitem_lowerdim)
     4350    0.002    0.000    0.002    0.000 {built-in method _stat.S_ISREG}
       54    0.002    0.000    0.002    0.000 {built-in method builtins.next}
     3342    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
     6147    0.002    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:803(_normalize_key)
      418    0.002    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:315(__init__)
     3877    0.002    0.000    0.002    0.000 {built-in method builtins.min}
        2    0.002    0.001    0.002    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:193(fix)
      897    0.002    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5489(__setattr__)
     7546    0.002    0.000    0.002    0.000 {built-in method math.ceil}
      159    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3328    0.001    0.000    0.001    0.000 /usr/lib/python3.8/multiprocessing/process.py:37(current_process)
     4522    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3328    0.001    0.000    0.001    0.000 /usr/lib/python3.8/multiprocessing/process.py:99(_check_closed)
     3328    0.001    0.000    0.001    0.000 /usr/lib/python3.8/multiprocessing/process.py:189(name)
