         1378372 function calls (1376121 primitive calls) in 20.932 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
      684    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
       51    0.002    0.000    0.002    0.000 {built-in method _operator.eq}
      841    0.002    0.000    0.019    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
      816    0.002    0.000    0.003    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
     1688    0.002    0.000    0.010    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
      241    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      357    0.002    0.000    0.023    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:813(_getitem_lowerdim)
       18    0.002    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:137(__init__)
      338    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
     1041    0.002    0.000    0.009    0.000 /usr/lib/python3.8/genericpath.py:27(isfile)
      430    0.002    0.000    0.013    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:315(__init__)
      367    0.002    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:977(iget)
      972    0.002    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5489(__setattr__)
     1755    0.002    0.000    0.006    0.000 {built-in method builtins.all}
    37/13    0.002    0.000    0.004    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      841    0.002    0.000    0.002    0.000 /usr/lib/python3.8/uuid.py:327(hex)
      832    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1954(_chunk_key)
      816    0.001    0.000    0.003    0.000 /usr/lib/python3.8/multiprocessing/process.py:234(ident)
     5245    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
   131/81    0.001    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2730    0.001    0.000    0.002    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
      485    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:233(__init__)
      816    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
      816    0.001    0.000    0.002    0.000 /usr/lib/python3.8/threading.py:1306(current_thread)
