         910295 function calls (908100 primitive calls) in 3.094 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.850    0.850    1.640    1.640 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:159(__iter_read_spectrum_meta)
    40044    0.646    0.000    0.666    0.000 {built-in method numpy.fromfile}
   140167    0.444    0.000    0.444    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:48(_get_cv_param)
    20022    0.319    0.000    0.770    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:226(__process_spectrum)
      544    0.180    0.000    0.188    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1996(_encode_chunk)
       64    0.159    0.002    1.304    0.020 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:126(read_chunk_into)
    40044    0.036    0.000    0.036    0.000 {method 'seek' of '_io.BufferedReader' objects}
      2/1    0.026    0.013    0.034    0.034 {built-in method _imp.exec_dynamic}
      555    0.026    0.000    0.026    0.000 {method 'write' of '_io.BufferedWriter' objects}
    60066    0.021    0.000    0.036    0.000 /usr/lib/python3.8/collections/__init__.py:400(_make)
        1    0.018    0.018    1.355    1.355 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:513(_tmp)
      544    0.017    0.000    0.223    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1897(_process_for_setitem)
       68    0.017    0.000    0.017    0.000 {built-in method numpy.zeros}
       11    0.017    0.002    0.017    0.002 {pandas._libs.lib.maybe_convert_objects}
     2552    0.014    0.000    0.014    0.000 {built-in method posix.stat}
      569    0.014    0.000    0.014    0.000 {built-in method io.open}
    41266    0.012    0.000    0.012    0.000 {built-in method _abc._abc_instancecheck}
  837/801    0.012    0.000    0.012    0.000 {built-in method numpy.array}
    61380    0.011    0.000    0.011    0.000 {built-in method __new__ of type object at 0x908780}
        2    0.009    0.005    0.009    0.005 {built-in method _imp.create_dynamic}
    41266    0.009    0.000    0.021    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
   142108    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
      301    0.008    0.000    0.008    0.000 {method 'fill' of 'numpy.ndarray' objects}
      555    0.007    0.000    0.095    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:848(__setitem__)
      555    0.007    0.000    0.007    0.000 {built-in method posix.replace}
    40109    0.006    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:303(dtype)
68538/66988    0.006    0.000    0.007    0.000 {built-in method builtins.len}
        1    0.006    0.006    0.009    0.009 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:89(add_chunk_idx)
    30987    0.006    0.000    0.009    0.000 {built-in method builtins.isinstance}
      165    0.006    0.000    0.009    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:137(__init__)
       67    0.005    0.000    0.005    0.000 {built-in method builtins.exec}
        2    0.005    0.002    0.006    0.003 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:193(fix)
      555    0.005    0.000    0.044    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:822(_tofile)
       65    0.004    0.000    0.010    0.000 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
     1404    0.004    0.000    0.005    0.000 /usr/lib/python3.8/posixpath.py:71(join)
      609    0.003    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:296(__iter__)
     1087    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1080    0.003    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:53(ensure_contiguous_ndarray)
      555    0.003    0.000    0.003    0.000 /usr/lib/python3.8/uuid.py:132(__init__)
       66    0.003    0.000    0.003    0.000 {built-in method builtins.next}
       65    0.003    0.000    0.333    0.005 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1601(_set_selection)
      464    0.002    0.000    0.008    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:977(iget)
      455    0.002    0.000    0.031    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:813(_getitem_lowerdim)
       89    0.002    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4537(__contains__)
     1089    0.002    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5489(__setattr__)
      562    0.002    0.000    0.003    0.000 /usr/lib/python3.8/posixpath.py:100(split)
      508    0.002    0.000    0.012    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:315(__init__)
     1624    0.002    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:10(ensure_ndarray)
      544    0.002    0.000    0.318    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1891(_chunk_setitem_nosync)
      555    0.002    0.000    0.002    0.000 {built-in method posix.urandom}
      978    0.002    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:118(__iter__)
     2468    0.002    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:193(<genexpr>)
