         849118 function calls (847173 primitive calls) in 192.663 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10854  109.755    0.010  109.800    0.010 {built-in method numpy.fromfile}
       52   47.393    0.911  190.567    3.665 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:126(read_chunk_into)
     4320   16.324    0.004   16.423    0.004 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1996(_encode_chunk)
     1812    5.372    0.003    5.372    0.003 {method 'fill' of 'numpy.ndarray' objects}
     4320    5.265    0.001   27.170    0.006 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1897(_process_for_setitem)
     4331    4.713    0.001    4.713    0.001 {method 'write' of '_io.BufferedWriter' objects}
        1    1.439    1.439  192.146  192.146 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:513(_tmp)
     4320    0.389    0.000   33.166    0.008 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1865(_chunk_setitem)
        1    0.224    0.224    0.444    0.444 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:159(__iter_read_spectrum_meta)
     4345    0.152    0.000    0.152    0.000 {built-in method io.open}
    19179    0.147    0.000    0.147    0.000 {built-in method posix.stat}
    38002    0.122    0.000    0.122    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:48(_get_cv_param)
     4331    0.117    0.000    0.117    0.000 {built-in method posix.replace}
     4320    0.098    0.000   32.775    0.008 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1891(_chunk_setitem_nosync)
     5427    0.089    0.000    0.214    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:226(__process_spectrum)
     4331    0.072    0.000    5.492    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:848(__setitem__)
    10854    0.065    0.000    0.065    0.000 {method 'seek' of '_io.BufferedReader' objects}
     4331    0.053    0.000    4.918    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:822(_tofile)
    16281    0.040    0.000    0.069    0.000 /usr/lib/python3.8/collections/__init__.py:400(_make)
    18045    0.039    0.000    0.039    0.000 {built-in method _abc._abc_instancecheck}
     7672    0.037    0.000    0.117    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:53(ensure_contiguous_ndarray)
     7679    0.036    0.000    0.036    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    10479    0.033    0.000    0.046    0.000 /usr/lib/python3.8/posixpath.py:71(join)
     4373    0.032    0.000    0.068    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:296(__iter__)
3611/3581    0.031    0.000    0.031    0.000 {built-in method numpy.array}
     4331    0.029    0.000    0.036    0.000 /usr/lib/python3.8/uuid.py:132(__init__)
       53    0.028    0.001   33.295    0.628 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1601(_set_selection)
     1858    0.028    0.000    0.028    0.000 {built-in method numpy.empty}
    24196    0.026    0.000    0.026    0.000 {built-in method __new__ of type object at 0x908780}
   100623    0.025    0.000    0.036    0.000 {built-in method builtins.isinstance}
      2/1    0.022    0.011    0.026    0.026 {built-in method _imp.exec_dynamic}
    11992    0.020    0.000    0.050    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:10(ensure_ndarray)
     4338    0.015    0.000    0.022    0.000 /usr/lib/python3.8/posixpath.py:100(split)
    18045    0.015    0.000    0.055    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
     4331    0.015    0.000    0.015    0.000 {built-in method posix.urandom}
    19900    0.015    0.000    0.016    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:193(<genexpr>)
     3328    0.014    0.000    0.018    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
    10907    0.014    0.000    0.014    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:303(dtype)
     6941    0.013    0.000    0.030    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/numeric.py:1865(isscalar)
     4320    0.013    0.000    0.034    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:179(is_total_slice)
     4331    0.013    0.000    0.130    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:629(retry_call)
     4331    0.013    0.000    0.064    0.000 /usr/lib/python3.8/uuid.py:780(uuid4)
       11    0.012    0.001    0.012    0.001 {pandas._libs.lib.maybe_convert_objects}
31177/29885    0.011    0.000    0.011    0.000 {built-in method builtins.len}
     4489    0.011    0.000    0.011    0.000 {method 'join' of 'str' objects}
     8670    0.010    0.000    0.052    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
     3761    0.010    0.000    0.018    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:118(__iter__)
     4331    0.009    0.000    0.074    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
     6941    0.009    0.000    0.040    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:36(is_scalar)
     2577    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.ndarray' objects}
     6147    0.009    0.000    0.051    0.000 /usr/lib/python3.8/genericpath.py:27(isfile)
        2    0.008    0.004    0.008    0.004 {built-in method _imp.create_dynamic}
     3328    0.007    0.000    0.013    0.000 /usr/lib/python3.8/multiprocessing/process.py:234(ident)
     4320    0.007    0.000    0.017    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1954(_chunk_key)
     4331    0.006    0.000    0.006    0.000 /usr/lib/python3.8/uuid.py:327(hex)
     1768    0.006    0.000    0.032    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:840(__getitem__)
    14818    0.005    0.000    0.008    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
     3328    0.005    0.000    0.007    0.000 /usr/lib/python3.8/threading.py:1306(current_thread)
     5195    0.005    0.000    0.021    0.000 {built-in method builtins.all}
     3328    0.005    0.000    0.005    0.000 {built-in method posix.getpid}
    21600    0.005    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:299(<genexpr>)
    10392    0.005    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:276(chunk_store)
       55    0.004    0.000    0.004    0.000 {built-in method builtins.exec}
     3328    0.004    0.000    0.004    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
     3328    0.003    0.000    0.003    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
     4337    0.003    0.000    0.003    0.000 {built-in method from_bytes}
    21600    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:301(<genexpr>)
    21600    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:300(<genexpr>)
     3328    0.003    0.000    0.007    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
    11362    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     7522    0.003    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:99(ceildiv)
       53    0.003    0.000    0.008    0.000 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
     4320    0.003    0.000    0.005    0.000 <string>:1(__new__)
    39292    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    14828    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
       77    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4537(__contains__)
    10485    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     4331    0.002    0.000    0.002    0.000 {method 'count' of 'list' objects}
