         1378372 function calls (1376121 primitive calls) in 21.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49878    7.061    0.000    7.115    0.000 {built-in method numpy.fromfile}
       51    6.406    0.126   16.728    0.328 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:126(read_chunk_into)
        1    2.701    2.701    4.789    4.789 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:159(__iter_read_spectrum_meta)
      832    1.477    0.002    1.497    0.002 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1996(_encode_chunk)
   349152    1.189    0.000    1.189    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:48(_get_cv_param)
      841    0.997    0.001    0.997    0.001 {method 'write' of '_io.BufferedWriter' objects}
    49877    0.859    0.000    2.066    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:226(__process_spectrum)
      267    0.147    0.001    0.147    0.001 {method 'fill' of 'numpy.ndarray' objects}
        1    0.106    0.106   16.871   16.871 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:400(_tmp)
    49878    0.106    0.000    0.106    0.000 {method 'seek' of '_io.BufferedReader' objects}
      832    0.056    0.000    1.716    0.002 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1897(_process_for_setitem)
    49877    0.047    0.000    0.082    0.000 /usr/lib/python3.8/collections/__init__.py:400(_make)
       11    0.042    0.004    0.042    0.004 {pandas._libs.lib.maybe_convert_objects}
    51677    0.036    0.000    0.036    0.000 {built-in method _abc._abc_instancecheck}
      851    0.034    0.000    0.034    0.000 {built-in method io.open}
     3601    0.032    0.000    0.032    0.000 {built-in method posix.stat}
1266/1211    0.030    0.000    0.031    0.000 {built-in method numpy.array}
      2/1    0.029    0.015    0.037    0.037 {built-in method _imp.exec_dynamic}
      832    0.027    0.000    2.924    0.004 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1865(_chunk_setitem)
    51768    0.026    0.000    0.026    0.000 {built-in method __new__ of type object at 0x908780}
      841    0.025    0.000    0.025    0.000 {built-in method posix.replace}
   350448    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
    51677    0.021    0.000    0.057    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
    49928    0.019    0.000    0.019    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:303(dtype)
      841    0.016    0.000    1.171    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:848(__setitem__)
        1    0.015    0.015    0.019    0.019 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:89(add_chunk_idx)
        2    0.012    0.006    0.016    0.008 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:193(fix)
58496/56908    0.012    0.000    0.012    0.000 {built-in method builtins.len}
      841    0.010    0.000    1.040    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:822(_tofile)
        2    0.009    0.005    0.009    0.005 {built-in method _imp.create_dynamic}
    35937    0.009    0.000    0.014    0.000 {built-in method builtins.isinstance}
      832    0.009    0.000    2.897    0.003 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1891(_chunk_setitem_nosync)
     1666    0.008    0.000    0.025    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:53(ensure_contiguous_ndarray)
      884    0.007    0.000    0.015    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:296(__iter__)
      841    0.007    0.000    0.009    0.000 /usr/lib/python3.8/uuid.py:132(__init__)
     1883    0.007    0.000    0.010    0.000 /usr/lib/python3.8/posixpath.py:71(join)
       52    0.007    0.000    2.954    0.057 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1601(_set_selection)
     1673    0.007    0.000    0.007    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2498    0.005    0.000    0.012    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:10(ensure_ndarray)
       53    0.004    0.000    0.004    0.000 {built-in method builtins.exec}
     1559    0.004    0.000    0.008    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/numeric.py:1865(isscalar)
      846    0.004    0.000    0.005    0.000 /usr/lib/python3.8/posixpath.py:100(split)
      841    0.003    0.000    0.003    0.000 {built-in method posix.urandom}
     3944    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:193(<genexpr>)
        1    0.003    0.003    4.926    4.926 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:554(_get_converter_fun)
      832    0.003    0.000    0.008    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:179(is_total_slice)
      841    0.003    0.000    0.015    0.000 /usr/lib/python3.8/uuid.py:780(uuid4)
       51    0.003    0.000    0.008    0.000 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
        1    0.003    0.003    0.003    0.003 {pandas._libs.lib.to_object_array_tuples}
       70    0.003    0.000    0.003    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      129    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4537(__contains__)
      104    0.003    0.000    0.003    0.000 {built-in method builtins.next}
        8    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1969(construct_1d_object_array_from_listlike)
      841    0.003    0.000    0.028    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:629(retry_call)
      994    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        3    0.002    0.001    0.004    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1981(_merge_blocks)
      841    0.002    0.000    0.019    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
       51    0.002    0.000    0.002    0.000 {built-in method _operator.eq}
     1559    0.002    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:36(is_scalar)
      684    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
       51    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
     1190    0.002    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:118(__iter__)
     1688    0.002    0.000    0.011    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
      357    0.002    0.000    0.025    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:813(_getitem_lowerdim)
      338    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
      241    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      367    0.002    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:977(iget)
      816    0.002    0.000    0.002    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
      972    0.002    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5489(__setattr__)
      430    0.002    0.000    0.013    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:315(__init__)
   131/81    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1041    0.002    0.000    0.009    0.000 /usr/lib/python3.8/genericpath.py:27(isfile)
     1755    0.002    0.000    0.006    0.000 {built-in method builtins.all}
      841    0.002    0.000    0.002    0.000 /usr/lib/python3.8/uuid.py:327(hex)
      832    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1954(_chunk_key)
     5245    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
      816    0.001    0.000    0.003    0.000 /usr/lib/python3.8/multiprocessing/process.py:234(ident)
        3    0.001    0.000    0.001    0.000 {built-in method _operator.floordiv}
      485    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:233(__init__)
     4160    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:299(<genexpr>)
      816    0.001    0.000    0.002    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
      816    0.001    0.000    0.002    0.000 /usr/lib/python3.8/threading.py:1306(current_thread)
      816    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
      359    0.001    0.000    0.037    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:918(__getitem__)
     2730    0.001    0.000    0.002    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
     1122    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:100(is_bool_indexer)
      357    0.001    0.000    0.020    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1535(_getitem_axis)
     2208    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_list_like}
       73    0.001    0.000    0.026    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:463(sanitize_array)
        1    0.001    0.001    0.001    0.001 {method 'unique' of 'pandas._libs.hashtable.Int64HashTable' objects}
      357    0.001    0.000    0.031    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1504(_getitem_tuple)
     1821    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:276(chunk_store)
        1    0.001    0.001    4.921    4.921 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:49(get_data_from_parser)
      438    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1853(maybe_coerce_values)
      724    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4587(__getitem__)
      463    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/base.py:737(__iter__)
     5860    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    37/13    0.001    0.000    0.002    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
        1    0.001    0.001    0.002    0.002 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:49(__init__)
  586/583    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5473(__getattr__)
