         849118 function calls (847173 primitive calls) in 171.448 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10854   89.684    0.008   89.728    0.008 {built-in method numpy.fromfile}
       52   46.097    0.886  169.372    3.257 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:126(read_chunk_into)
     4320   16.377    0.004   16.478    0.004 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1996(_encode_chunk)
     1812    5.310    0.003    5.310    0.003 {method 'fill' of 'numpy.ndarray' objects}
     4320    5.253    0.001   27.151    0.006 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1897(_process_for_setitem)
     4331    4.736    0.001    4.736    0.001 {method 'write' of '_io.BufferedWriter' objects}
        1    1.426    1.426  170.938  170.938 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:513(_tmp)
     4320    0.390    0.000   33.336    0.008 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1865(_chunk_setitem)
     4331    0.287    0.000    0.287    0.000 {built-in method posix.replace}
        1    0.223    0.223    0.447    0.447 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:159(__iter_read_spectrum_meta)
     4345    0.152    0.000    0.152    0.000 {built-in method io.open}
    19179    0.147    0.000    0.147    0.000 {built-in method posix.stat}
    38002    0.125    0.000    0.125    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:48(_get_cv_param)
     4320    0.097    0.000   32.944    0.008 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1891(_chunk_setitem_nosync)
     5427    0.091    0.000    0.219    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:226(__process_spectrum)
     4331    0.071    0.000    5.681    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:848(__setitem__)
    10854    0.065    0.000    0.065    0.000 {method 'seek' of '_io.BufferedReader' objects}
     4331    0.051    0.000    4.938    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:822(_tofile)
    16281    0.040    0.000    0.071    0.000 /usr/lib/python3.8/collections/__init__.py:400(_make)
    18045    0.039    0.000    0.039    0.000 {built-in method _abc._abc_instancecheck}
     7679    0.037    0.000    0.037    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     7672    0.036    0.000    0.117    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:53(ensure_contiguous_ndarray)
     4373    0.032    0.000    0.067    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:296(__iter__)
    10479    0.032    0.000    0.046    0.000 /usr/lib/python3.8/posixpath.py:71(join)
3611/3581    0.031    0.000    0.031    0.000 {built-in method numpy.array}
       53    0.029    0.001   33.466    0.631 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1601(_set_selection)
     4331    0.029    0.000    0.036    0.000 /usr/lib/python3.8/uuid.py:132(__init__)
     1858    0.027    0.000    0.027    0.000 {built-in method numpy.empty}
    24196    0.025    0.000    0.025    0.000 {built-in method __new__ of type object at 0x908780}
   100623    0.025    0.000    0.036    0.000 {built-in method builtins.isinstance}
    11992    0.020    0.000    0.050    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numcodecs/compat.py:10(ensure_ndarray)
      2/1    0.020    0.010    0.024    0.024 {built-in method _imp.exec_dynamic}
     4338    0.016    0.000    0.023    0.000 /usr/lib/python3.8/posixpath.py:100(split)
     4331    0.015    0.000    0.015    0.000 {built-in method posix.urandom}
    19900    0.015    0.000    0.016    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:193(<genexpr>)
    18045    0.015    0.000    0.054    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
    10907    0.014    0.000    0.014    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:303(dtype)
     6941    0.014    0.000    0.031    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/numeric.py:1865(isscalar)
     3328    0.013    0.000    0.017    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
     4331    0.013    0.000    0.064    0.000 /usr/lib/python3.8/uuid.py:780(uuid4)
     4320    0.013    0.000    0.035    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:179(is_total_slice)
     4331    0.012    0.000    0.299    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:629(retry_call)
31177/29885    0.012    0.000    0.013    0.000 {built-in method builtins.len}
     4489    0.011    0.000    0.011    0.000 {method 'join' of 'str' objects}
     6941    0.010    0.000    0.041    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:36(is_scalar)
     8670    0.010    0.000    0.051    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
     3761    0.010    0.000    0.018    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:118(__iter__)
     4331    0.009    0.000    0.076    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
     2577    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.ndarray' objects}
     6147    0.009    0.000    0.050    0.000 /usr/lib/python3.8/genericpath.py:27(isfile)
        2    0.009    0.004    0.009    0.004 {built-in method _imp.create_dynamic}
     4320    0.007    0.000    0.018    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1954(_chunk_key)
     4331    0.007    0.000    0.007    0.000 /usr/lib/python3.8/uuid.py:327(hex)
     3328    0.007    0.000    0.013    0.000 /usr/lib/python3.8/multiprocessing/process.py:234(ident)
       11    0.006    0.001    0.006    0.001 {pandas._libs.lib.maybe_convert_objects}
     1768    0.006    0.000    0.032    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:840(__getitem__)
    14818    0.006    0.000    0.008    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
     3328    0.006    0.000    0.006    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
     3328    0.005    0.000    0.007    0.000 /usr/lib/python3.8/threading.py:1306(current_thread)
     3328    0.005    0.000    0.005    0.000 {built-in method posix.getpid}
     5195    0.005    0.000    0.021    0.000 {built-in method builtins.all}
    21600    0.005    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:299(<genexpr>)
    10392    0.005    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:276(chunk_store)
       55    0.004    0.000    0.004    0.000 {built-in method builtins.exec}
     3328    0.004    0.000    0.004    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
    11362    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     4337    0.003    0.000    0.003    0.000 {built-in method from_bytes}
    21600    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:301(<genexpr>)
     3328    0.003    0.000    0.009    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
    21600    0.003    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:300(<genexpr>)
     7522    0.003    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:99(ceildiv)
       53    0.003    0.000    0.008    0.000 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
    39292    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     4320    0.003    0.000    0.005    0.000 <string>:1(__new__)
    14828    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
    10485    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     4331    0.002    0.000    0.002    0.000 {method 'count' of 'list' objects}
       77    0.002    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4537(__contains__)
     4343    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
      371    0.002    0.000    0.024    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:813(_getitem_lowerdim)
     3342    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
       54    0.002    0.000    0.002    0.000 {built-in method builtins.next}
      380    0.002    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:977(iget)
     4350    0.002    0.000    0.002    0.000 {built-in method _stat.S_ISREG}
