         910295 function calls (908100 primitive calls) in 3.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5751    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
     1397    0.001    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:100(is_bool_indexer)
      455    0.001    0.000    0.026    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1535(_getitem_axis)
       32    0.001    0.000    0.001    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
      544    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:179(is_total_slice)
     2565    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_list_like}
      455    0.001    0.000    0.041    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1504(_getitem_tuple)
      555    0.001    0.000    0.006    0.000 /usr/lib/python3.8/uuid.py:780(uuid4)
        1    0.001    0.001    1.772    1.772 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:554(_get_converter_fun)
      544    0.001    0.000    0.315    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1865(_chunk_setitem)
       65    0.001    0.000    0.061    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:1266(itertuples)
      919    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4587(__getitem__)
      512    0.001    0.000    0.001    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
      588    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/base.py:737(__iter__)
      483    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ontology/ontology.py:70(lookup_and_convert_cv_param)
       80    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      516    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1853(maybe_coerce_values)
      725    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
